タグ	使用頻度	略語	英文	和訳	説明	具体例
RST	4	RST 599	Readability 5, Strength 9, Tone 9	了解度5・強度9・音調9	非常に良好なCW信号を表す代表的なRSTレポート。	「UR RST 599」で完全に読めて強力かつ良好な音調と伝える。
RST	4	RST 5NN	Abbreviated RST 599	RST 599の略記	コンテストなどで9をNに短縮して送るRST 599の略記。	コンテストで「5NN TU」と送り、599と同じ意味で素早くレポートする。
設備,用語	3	RTTY	Radio Teletype	ラジオテレタイプ	ラジオテレタイプ。	「RTTY MODE」でモード。
設備,用語	4	RX	Receiver	受信機	受信機。	受信機「RX NOW」で受信待機。
RST,詳細	3	S1	Faint signals, barely perceptible	かすかに感じる程度	微弱信号。	かろうじて「S1」で弱。
RST,詳細	4	S5	Fairly good signals	かなり良好	良好信号。	そこそこ「S5」で良い。
RST,詳細	4	S9	Extremely strong signals	非常に強い	極強信号。	極強信号「UR SIG S9 FB」で非常に強い。
設備,用語	1	SA	Say	Sayまたは南米	言う南米。	「SA QTH」で言う位置。
設備,用語	2	SASE	Self Addressed and Stamped Envelope	返信用封筒	返信用封筒。	「SASE PSE」で依頼。
設備,用語	2	SED	Said	言った	言った。	「SED QRA」で言った名前。
設備,用語	1	SHUD	Should	すべき	すべき。	「SHUD QSY」で変更すべき。
設備,用語	4	SIG	Signal(s)	信号	信号。	「SIG 599」で信号。
設備,用語	4	SKED	Schedule	スケジュール	スケジュール。	スケジュール「SKED 1400Z」で約束時刻。
設備,用語	3	SN	Soon	すぐに	間もなく。	「SN BK」ですぐ交代。
設備,用語	2	SND	Sound	音	音。	「SND GOOD」で音良い。
設備,用語	3	SP	Short Path	短経路	短経路。	「SP DX」で短経路。
設備,用語	4	SRI	Sorry	すみません/ごめんなさい	sorryを短く送るための定番CW略語。	「SRI QRM」で混信について謝る。
設備,用語	1	SS	Sweepstakes	スイープステークス	スイープステークス。	「SS CONTEST」でコンテスト。
設備,用語	2	STEDI	Steady	安定	安定。	「STEDI SIG」で安定信号。
設備,用語	3	STN	Station	局	局。	「STN JA1ABC」で局。
設備,用語	2	SU	See You	また会おう	また会おう。	「SU CUL」でまた。
設備,用語	1	SUM	Some	いくつか	いくつか。	「SUM QTC」でいくつか。
設備,用語	2	SVC	Service	サービス	サービス。	「SVC NET」でサービス。
設備,用語	3	SWL	Short Wave Listener	短波リスナー	短波リスナー。	「SWL HRD」でリスナー。
設備,用語	1	T	Zero	ゼロ	ゼロ。	「T RST」で0レポート。
RST,詳細	3	T1	Extremely rough, very harsh note	極めて粗く耳障り	粗悪音。	耳障り「T1」で悪い。
RST,詳細	4	T5	Fairly pure tone	かなり純粋な音	やや純音。	まあまあ「T5」で良い。
RST,詳細	4	T9	Extremely pure tone, crystal clear	非常に純粋で澄んだ音	澄んだ音。	澄んだ音「UR T9 XTAL」で完璧な音質。
設備,用語	4	TEMP	Temperature	温度	温度。	「TEMP 20C」で温度。
設備,用語	3	TFC	Traffic	トラフィック	トラフィック。	「TFC 5」で5通。
設備,用語	3	TMW	Tomorrow	明日	明日。	「TMW 0800」で明日朝。
設備,用語	4	TNX	Thanks	ありがとう	thanksを短く送るための定番CW略語。	「TNX FER QSO」で交信への感謝を伝える。
設備,用語	4	TKS	Thanks	ありがとう	TNXと同じくthanksを表すCW略語。	「TKS FER CALL」で呼び出しへの感謝を伝える。
設備,用語	2	TRBL	Trouble	トラブル	トラブル。	「TRBL ANT」でアンテナ問題。
設備,用語	1	TRE	There	そこ	そこ。	「TRE QTH」でそこ位置。
設備,用語	1	TRIX	Tricks	トリック	トリック。	「TRIX HI」でトリック笑い。
設備,用語	3	TRX	Transceiver	トランシーバー	トランシーバー。	「TRX IC-7610」で機種。
設備,用語	1	TT	That	それ	それ。	「TT QSL」でそれ確認。
設備,用語	1	TTS	That is	つまり	つまり。	「TTS DX」でつまりDX。
確認,返答	5	TU	Thank you	ありがとう	thank youを短く送るための定番CW略語。	「TU 73」で感謝して交信を締める。
設備,用語	2	TVI	Television Interference	テレビ干渉	テレビ干渉。	「TVI BAD」でTV妨害。
設備,用語	4	TX	Transmitter	送信機	送信機。	送信機「TX NOW」で送信開始。
設備,用語	1	TXT	Text	テキスト	テキスト。	「TXT MSG」でテキスト。
設備,用語	4	U	You	あなた	あなた。	「U OM」であなた男性。
設備,用語	4	UFB	Ultra Fine Business	大変素晴らしい	大変素晴らしい。	大変素晴らしい「UFB SIG OM」で大変良い信号。
設備,用語	4	UR	Your / You are	あなたの/あなたは	yourまたはyou areを表すCW略語。	「UR RST 599」であなたの信号は599と伝える。
設備,用語	1	URS	Yours	あなたの	あなたの。	「URS QTH」であなたの位置。
設備,用語	3	VERT	Vertical Antenna	垂直アンテナ	垂直アンテナ。	「VERT GP」で垂直。
設備,用語	3	VFB	Very Fine Business	とても素晴らしい	とても素晴らしい。	とても良い「VFB QSO OM」でとても素晴らしい交信。
設備,用語	3	VFO	V.F.O.	可変周波発振器	可変周波発振器。	「VFO A」でVFO選択。
設備,用語	4	VY	Very	とても	強調。	強調「VY FB OM TNX」でとても良い。
設備,用語	1	WID	With	と一緒に	と一緒に。	「WID OM」で一緒に。
設備,用語	4	WKD	Worked	交信した	交信した。	交信済み「WKD JA1ABC B4」で以前交信。
設備,用語	4	WKG	Working	交信中	交信中。	「WKG DX」でDX中。
設備,用語	1	WL	Will 、 Well	する、では	するでは。	「WL TRY」でするよ。
設備,用語	3	WPM	Words Per Minute	毎分語数	毎分語数。	「WPM 20」で速度。
設備,用語	2	WRK	Work	仕事	仕事。	「WRK QSL」でQSL仕事。
設備,用語	1	WTS	watts	ワット	ワット。	「WTS 100」で100W。
設備,用語	1	WUD	Would	するだろう	するだろう。	「WUD QSY」で変更するよ。
設備,用語	2	WW	World Wide	世界規模	世界規模。	「WW CQ」で世界呼び。
設備,用語	4	WX	Weather	天気	天候を表す定番のCW略語。	「WX FINE」で天気がよいことを伝える。
設備,用語	3	XCVR	Transceiver	トランシーバー	トランシーバー。	「XCVR FTDX」で機種。
設備,用語	3	XMAS	Christmas	クリスマス	クリスマス。	「XMAS HNY」でクリスマス。
設備,用語	4	XMTR	Transmitter	送信機	送信機。	「XMTR PWR」で送信機電力。
設備,用語	4	XTAL	Crystal	水晶	水晶。	「XTAL FREQ」で水晶周波数。
設備,用語	4	XYL	Wife (ex-young lady)	妻(既婚女性局員)	妻を指す。	妻「161 XYL」で妻によろしく。
設備,用語	1	YF	Wife	妻	妻。	「YF XYL」で妻。
設備,用語	4	YL	Young lady	女性局員	女性オペレーター。	女性局「YL 73」で女性オペレーター。
設備,用語	2	YTD	Yesterday	昨日	昨日。	「YTD QSO」で昨日交信。
設備,用語	3	Z	Zulu	世界標準時	世界標準時。	「Z 0000」でUTC。
